country,sector,scenario_name,temp_component_raw,drought_component_raw,excess_precip_component_raw,wildfire_component_raw,physical_risk_raw,transition_risk_raw,physical_intensity,transition_intensity,temp_component_scenario,drought_component_scenario,excess_precip_component_scenario,wildfire_component_scenario,transition_component_scenario,raw_shock,shock_index_norm,total_shock,temp_component_share,temp_component_financial_contribution,drought_component_share,drought_component_financial_contribution,excess_precip_component_share,excess_precip_component_financial_contribution,wildfire_component_share,wildfire_component_financial_contribution,transition_component_share,transition_component_financial_contribution,check_sum_financial_contributions,decomposition_error
Germany,agriculture,severe_disorderly_transition,0.6157237325495929,0.0,0.5,0.0,1.115723732549593,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.44999999999999996,0.44999999999999996,0.24467415730337105,0.112976179775281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.112976179775281,0.112976179775281,0.0
Germany,agriculture,acute_physical_risk,0.6157237325495929,0.0,0.5,0.0,1.115723732549593,0.3,1.0,0.0,0.6157237325495929,0.0,0.5,0.0,0.0,1.115723732549593,0.6518876404494371,0.26771730337078614,0.5518603885413225,0.14774257505743713,0.0,0.0,0.4481396114586775,0.11997472831334899,0.0,0.0,0.0,0.0,0.26771730337078614,0.0
Germany,agriculture,combined_transition_physical,0.6157237325495929,0.0,0.5,0.0,1.115723732549593,0.3,1.0,1.0,0.6157237325495929,0.0,0.5,0.0,0.3,1.415723732549593,0.8353932584269655,0.33744943820224693,0.43491799875441023,0.14676283434372125,0.0,0.0,0.3531762507784936,0.11917912741157853,0.0,0.0,0.21190575046709612,0.0715074764469471,0.3374494382022469,5.551115123125783e-17
Germany,other_services,orderly_transition,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.02,0.0
Germany,other_services,disorderly_transition,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.030584269662921385,0.03162202247191013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03162202247191013,0.03162202247191013,0.0
Germany,other_services,severe_disorderly_transition,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,0.1,0.0,1.5,0.0,0.0,0.0,0.0,0.15000000000000002,0.15000000000000002,0.061168539325842784,0.04324404494382026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04324404494382026,0.04324404494382026,0.0
Germany,other_services,acute_physical_risk,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,0.1,1.0,0.0,0.15393093313739822,0.0,0.2,0.0,0.0,0.3539309331373982,0.18591011235955032,0.09064584269662913,0.4349179987544103,0.03942350850102502,0.0,0.0,0.5650820012455898,0.051222334195604124,0.0,0.0,0.0,0.0,0.09064584269662915,-1.3877787807814457e-17
Germany,other_services,combined_transition_physical,0.15393093313739822,0.0,0.2,0.0,0.3539309331373982,0.1,1.0,1.0,0.15393093313739822,0.0,0.2,0.0,0.1,0.4539309331373982,0.24707865168539309,0.11388988764044938,0.33910650696018024,0.0386208019758402,0.0,0.0,0.4405956620265466,0.050179390443072805,0.0,0.0,0.2202978310132733,0.025089695221536402,0.11388988764044941,-2.7755575615628914e-17
Italy,fossil_fuels,orderly_transition,0.16770756796473107,0.005918775377189835,0.0,0.0,0.1736263433419209,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.2752584269662925,0.12459820224719115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12459820224719115,0.12459820224719115,0.0
Italy,fossil_fuels,disorderly_transition,0.16770756796473107,0.005918775377189835,0.0,0.0,0.1736263433419209,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5811011235955063,0.24081842696629238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24081842696629238,0.24081842696629238,0.0
Italy,fossil_fuels,severe_disorderly_transition,0.16770756796473107,0.005918775377189835,0.0,0.0,0.1736263433419209,1.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,1.5,0.8869438202247202,0.35703865168539367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.35703865168539367,0.35703865168539367,0.0
Italy,fossil_fuels,acute_physical_risk,0.16770756796473107,0.005918775377189835,0.0,0.0,0.1736263433419209,1.0,1.0,0.0,0.16770756796473107,0.005918775377189835,0.0,0.0,0.0,0.1736263433419209,0.07562042844420429,0.04873576280879763,0.9659108447297423,0.04707440182319408,0.03408915527025781,0.0016613609856035584,0.0,0.0,0.0,0.0,0.0,0.0,0.048735762808797635,-6.938893903907228e-18
