country,scenario_name,shock_multiplier,density_label,interbank_liability_scale,x,y,n,spearman_rho
United States of America,acute_physical_risk,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.24532063891230388
United States of America,acute_physical_risk,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.48141326019939007
United States of America,acute_physical_risk,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.31712906806712154
United States of America,acute_physical_risk,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.5828771525919795
United States of America,acute_physical_risk,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.3862728966122454
United States of America,acute_physical_risk,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.6751900996508101
United States of America,combined_transition_physical,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.6718137413132889
United States of America,combined_transition_physical,0.75,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.7242465153400383
United States of America,combined_transition_physical,1.0,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8000042953009102
United States of America,combined_transition_physical,1.0,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.8628921302692766
United States of America,combined_transition_physical,1.25,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.8739077204813822
United States of America,combined_transition_physical,1.25,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.943306661316831
United States of America,combined_transition_physical,1.5,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.9037556874152834
United States of America,combined_transition_physical,1.5,p30,1.0,shock_weighted_exposure_to_capital,target_loss_to_capital_ratio,360,0.9742263957798027
United States of America,disorderly_transition,0.75,p30,1.0,firm_exposure_to_capital,target_loss_to_capital_ratio,360,0.5154435228482103
